links	links-href	title	smalltitle	address	locationlink	locationlink-href	prise	details
Dit museum is kidsproofNatura Docet Wonderryck TwenteDENEKAMPDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Natura+Docet+Wonderryck+Twente/Natura+Docet+Wonderryck+Twente.aspx	Natura Docet Wonderryck Twente DENEKAMP						"Natura Docet Wonderryck Twente is het oudste natuurhistorische museum van Nederland en hét museum voor de hele familie. In dit verrassend museum sta je oog in oog met de natuur. Ga op avontuur en verwonder je over de bijzondere collectie opgezette dieren, skeletten en fossielen in de Wonderkamers; van ijsvogel tot zeekrokodil en van dino-ei tot mammoetskelet. Bouw je eigen digitale bos in Funky Forest, ontdek de natuur in 3D en geniet van de mooie museumtuin of op het terras van het tuincafé. In én rondom het museum is van alles te beleven."
Landbouw-Juttersmuseum 'SwartwBUREN-AMELANDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Landbouw-Juttersmuseum+%27Swartwoude%27/Juttersmuseum++Swartwoude.aspx	Landbouw-Juttersmuseum 'Swartwoude' BUREN-AMELAND						"Ontmoet de stroper, de visser en de jutter die ooit over het eiland dwaalden in het Landbouw en Juttersmuseum Swartwoude en ontdek de vele bijzondere  eilandverhalen. Ontmoet Ritske Mooi en huiver bij haar verhaal of onderga een heuse stormervaring. Bijzonder is ook verhaal van de kleine drenkelingen die aanspoelden en besloten te blijven. In het boerderijgedeelte wordt het boerenleven van weleer getoond. Diverse soorten kleinvee staan op stal of lopen vrij rond de boerderij."
Museum HaarlemHAARLEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Haarlem/Museum+Haarlem.aspx	Museum Haarlem HAARLEM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0HAARLEM%4052.3770933,4.6340112&hl=nl&ie=UTF8&t=m&om=1&z=12"		
DAF MuseumEINDHOVENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/DAF+Museum/DAF+Museum.aspx	DAF Museum EINDHOVEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0EINDHOVEN%4051.4371884,5.4904263&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Huis VerwoldeLARENDe Museumkaart is niet geldig in dit museum	https://www.museumkaart.nl/museum/Huis+Verwolde/Huis+Verwolde.aspx	Huis Verwolde LAREN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0LAREN%4052.2004809,6.3919699&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Stichting De NollenDEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stichting+De+Nollen/Project+De+Nollen.aspx	Stichting De Nollen DEN HELDER						"Het Nollenproject is een totaalkunstwerk van R.W. van de Wint (1942-2006). Het bestaat uit beelden, bouwsels en schilderingen in een duingebied. Reindert Wepko - Ruud - van de Wint trok zich in 1980 terug in het oude binnenduintje De Nollen, nadat hij het exposeren in Europese musea achter zich had gelaten. Hier maakte hij schilderingen, beelden en bouwsels in samenhang met het duinlandschap. De Nollen werd zijn levenswerk. De verschillende disciplines bracht hij er als een vanzelfsprekende eenheid samen."
Natuurhistorisch Museum MaastrMAASTRICHTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Natuurhistorisch+Museum+Maastricht/Natuurhistorisch+Museum+Maastricht.aspx	Natuurhistorisch Museum Maastricht MAASTRICHT	MAASTRICHT					
Museum Willet-HolthuysenAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Willet-Holthuysen/Museum+Willet-Holthuysen.aspx	Museum Willet-Holthuysen AMSTERDAM		"Herengracht 605
1017CE  AMSTERDAM
				            020-5231822"				
Museum Jan van der TogtAMSTELVEENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Jan+van+der+Togt/Museum+Jan+van+der+Togt.aspx	Museum Jan van der Togt AMSTELVEEN	AMSTELVEEN					
De LooierijDONGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/De+Looierij/Museum+De+Looierij.aspx	De Looierij DONGEN						"Ontdek hoe leer wordt gemaakt, ofwel gelooid. Kom hier alles te weten over het looiproces en over het leven in een gemeenschap van looiers. En dit alles in een zeer toepasselijk gebouw: een oude looierij uit 1889. De Looierij richt zich voornamelijk op het looiproces en het leven van de looiers. Deze onderwerpen worden belicht langs de Looiroute die door het hele museum loopt. In het Nathuis wordt bijvoorbeeld uit de doeken gedaan hoe het looien in zijn werk gaat. In de werkplaats kunnen kinderen deelnemen aan workshops. In 't Nieuwe Nathuis exposeren kunstenaars met Dongense wortels hun werk. Dit is altijd geïnspireerd door leer, looien of een Dongens thema."
MicropiaAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Micropia/Micropia.aspx	Micropia AMSTERDAM					Museumkaart	
Dit museum is kidsproofMuseum VolkenkundeLEIDENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Volkenkunde/Museum+Volkenkunde.aspx	Museum Volkenkunde LEIDEN		"Steenstraat 1
2312BS  LEIDEN
				            088-0042800"				
Museum BronbeekARNHEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Bronbeek/Museum+Bronbeek.aspx	Museum Bronbeek ARNHEM					Museumkaart	
Gemeentemuseum Den HaagDEN HAAGDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Gemeentemuseum+Den+Haag/Gemeentemuseum+Den+Haag.aspx	Gemeentemuseum Den Haag DEN HAAG			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0DEN+HAAG%4052.0892033,4.2798757&hl=nl&ie=UTF8&t=m&om=1&z=12"		
"Dolhuys, museum van de geestHAARLEMDit museum accepteert de Museumkaart"	https://www.museumkaart.nl/museum/Dolhuys%2c+museum+van+de+geest/Het+Dolhuys+.aspx	"Dolhuys, museum van de geest HAARLEM"	HAARLEM					
Museumstoomtram Hoorn-MedembliHOORNDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museumstoomtram+Hoorn-Medemblik/Museumstoomtram+Hoorn-Medemblik.aspx	Museumstoomtram Hoorn-Medemblik HOORN		"Van Dedemstraat 8
1624NN  HOORN
				            0229 - 214862"				
Museum BronbeekARNHEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Bronbeek/Museum+Bronbeek.aspx	Museum Bronbeek ARNHEM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0ARNHEM%4051.9950956,5.9502132&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Streekmuseum KrimpenerwaardKRIMPEN A/D  IJSSELDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum+Krimpenerwaard/Streekmuseum+voor+de+Krimpenerwaard.aspx	Streekmuseum Krimpenerwaard KRIMPEN A/D  IJSSEL		"IJsseldijk  312
2922BM  KRIMPEN A/D  IJSSEL
				            0180 - 51 48 66"				
"Maritiem Centrum ""Abraham FockHOLLUM-AMELANDDit museum accepteert de Museumkaart"	https://www.museumkaart.nl/museum/Maritiem+Centrum+%22Abraham+Fock%22/Mar.+Centrum+Abraham+Fock.aspx	"Maritiem Centrum ""Abraham Fock"" HOLLUM-AMELAND"	HOLLUM-AMELAND					
Natuurmuseum NijmegenNIJMEGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Natuurmuseum+Nijmegen/Natuurmuseum+Nijmegen.aspx	Natuurmuseum Nijmegen NIJMEGEN						"Wie binnen kijkt, ziet buiten meer! Een dagje uit in de natuur rond Nijmegen start in het Natuurmuseum. Daar maak je in het Bezoekerscentrum Gelderse Poort kennis met de bijzondere planten en dieren van het rivierenlandschap langs de Waal. Met verrassende, interactieve tentoonstellingen en activiteiten zoals veldlessen, natuurtochten en ganzenexcursies wil het museum mensen enthousiast maken voor de natuur. In onze winkel zijn wandel- en fietsroutes verkrijgbaar, waarmee je vanuit het museum zó de Gelderse Poort in kunt trekken. Voor kinderen is er veel te beleven. Binnen maken ze een speurtocht door de expositie, buiten kunnen ze elke maand mee met een spannende ontdekkingstocht door de natuur."
Museum Jan van der TogtAMSTELVEENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Jan+van+der+Togt/Museum+Jan+van+der+Togt.aspx	Museum Jan van der Togt AMSTELVEEN		"Dorpsstraat  50
1182JE  AMSTELVEEN
				            020 6415754"				
Dit museum is kidsproofGeoFortHERWIJNENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/GeoFort/Geofort.aspx	GeoFort HERWIJNEN					Museumkaart	
Museum 'De Tien Malen'PUTTENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+%27De+Tien+Malen%27/Historisch+Museum+De+Tien+Malen.aspx	Museum 'De Tien Malen' PUTTEN		"Garderenseweg 97
3881GK  PUTTEN
				            (0341) 35 54 85"				
De Casteelse PoortWAGENINGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/De+Casteelse+Poort/Historisch+Museum+De+Casteelse+Poort.aspx	De Casteelse Poort WAGENINGEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0WAGENINGEN%4051.9648075,5.6656864&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Nationaal ArchiefDEN HAAGDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nationaal+Archief/Nationaal+Archief.aspx	Nationaal Archief DEN HAAG	DEN HAAG					
ZoutmuseumDELDENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Zoutmuseum/Zoutmuseum+Delden.aspx	Zoutmuseum DELDEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0DELDEN%4052.2628096,6.7124824&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Stichting De NollenDEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stichting+De+Nollen/Project+De+Nollen.aspx	Stichting De Nollen DEN HELDER					Museumkaart	
Noord-Veluws MuseumNUNSPEETDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Noord-Veluws+Museum/Noord-Veluws+Museum.aspx	Noord-Veluws Museum NUNSPEET			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0NUNSPEET%4052.374259,5.780778&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Titus Brandsma MuseumBOLSWARDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Titus+Brandsma+Museum/Titus+Brandsma+Museum.aspx	Titus Brandsma Museum BOLSWARD						"'Wie de wereld voor God wil winnen, zal de moed moeten hebben er mee in conflict te komen.' Het Titus Brandsma Museum is gewijd aan karmelietenpater Titus Brandsma (1881-1942), die zich in de oorlog openlijk uitsprak tegen de nazi's. Brandsma stierf in concentratiekamp Dachau en is in 1985 zalig verklaard. Het museum vertelt het leven van Brandsma in tien panelen, onderbroken door vitrines met bijzondere voorwerpen zoals de laatste schoenen en jas van Pater Titus, zijn kanarie en een reliekschrijn. De rondgang eindigt bij een wand van kiezelstenen, waarin Pater Titus naamloos is weergegeven tussen de duizenden die in de Tweede Wereldoorlog zijn omgekomen."
Huis VerwoldeLARENDe Museumkaart is niet geldig in dit museum	https://www.museumkaart.nl/museum/Huis+Verwolde/Huis+Verwolde.aspx	Huis Verwolde LAREN						
SCHUNCKHEERLENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/SCHUNCK/SCHUNCK+Glaspaleis.aspx	SCHUNCK HEERLEN	HEERLEN					
Landbouw-Juttersmuseum 'SwartwBUREN-AMELANDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Landbouw-Juttersmuseum+%27Swartwoude%27/Juttersmuseum++Swartwoude.aspx	Landbouw-Juttersmuseum 'Swartwoude' BUREN-AMELAND			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0BUREN-AMELAND%4053.4473627,5.7969104&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Streekmuseum-VolkssterrenwachtBURGUMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum-Volkssterrenwacht+Burgum/Streekmuseum+Volkssterrenwacht+Burgum.aspx	Streekmuseum-Volkssterrenwacht Burgum BURGUM						"Het Streekmuseum Volkssterrenwacht Burgum zijn twee musea in één gebouw. In het Streekmuseum staan geologie en archeologie centraal. Daarnaast heeft het museum een mooie collectie van het werk van Burgumer zilversmeden, is er een grote fotografiecollectie en aandacht voor het leven en werk van Hendrik Bulthuis (uit Burgum), de ontwerper van het BM zeilschip.
De sterrenwacht is elke vrijdagavond tussen 19 en 22 uur geopend. Er zijn regelmatig presentaties en elke 1e vrijdag vd maand een filmavond. Bij heldere hemel gaan de koepels open zodat u via de telescopen kunt genieten van al het moois aan de nachtelijke hemel."
Nationaal ArchiefDEN HAAGDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nationaal+Archief/Nationaal+Archief.aspx	Nationaal Archief DEN HAAG						"125 km documenten, 15 miljoen foto’s en 300.000 historische kaarten en tekeningen en 330 terabyte aan digitale bestanden vormen samen de rijke archiefcollectie van het Nationaal Archief. Met de tentoonstellingen vertelt het Nationaal Archief op verrassende en interactieve wijze de geschiedenis en de verhalen die in de archieven verborgen liggen. Ook kunnen bezoekers aansluiten bij rondleidingen door de archieven, en krijgen zo een exclusief kijkje achter de schermen."
Nationaal ArchiefDEN HAAGDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nationaal+Archief/Nationaal+Archief.aspx	Nationaal Archief DEN HAAG		"P.W. Alexanderhof 20
2595BE  DEN HAAG
				            070 3315400"				
Museum de KantfabriekHORSTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+de+Kantfabriek/De+Kantfabriek.aspx	Museum de Kantfabriek HORST						"Wie binnenkomt, stapt het verleden in. Machines ratelen volop in een fabriek die de sfeer van de jaren dertig ademt. Museum de Kantfabriek laat zien hoe textielnijverheid de basis was voor economische bloei in Noord-Limburg. Op de arme grond in Noord-Limburg werden voor de bemesting schapen gehouden. De wol werd gesponnen en in de winter tot doek geweven. Nergens anders in Nederland was de concentratie thuisweverijen zo groot. Er ontstonden prachtige staaltjes van textielkunst. Museum de Kantfabriek beschikt over een bijzondere collectie oude en moderne objecten die het in vaste en wisselende exposities toont. Zien, horen, lezen en zelf doen, wisselen elkaar af."
Kasteel HoensbroekHOENSBROEKDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Kasteel+Hoensbroek/Kasteel+Hoensbroek.aspx	Kasteel Hoensbroek HOENSBROEK					Museumkaart	
Brabants Museum Oud OosterhoutOOSTERHOUTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Brabants+Museum+Oud+Oosterhout/Brabants+Museum+Oud+Oosterhout.aspx	Brabants Museum Oud Oosterhout OOSTERHOUT			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0OOSTERHOUT%4051.6314863,4.8418875&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Stedelijk Museum AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stedelijk+Museum+Amsterdam/Stedelijk+Museum+Amsterdam.aspx	Stedelijk Museum Amsterdam AMSTERDAM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0AMSTERDAM%4052.358217,4.879776&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Dit museum is kidsproofNationaal Reddingmuseum Dorus DEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nationaal+Reddingmuseum+Dorus+Rijkers/Nationaal+Reddingmuseum+Dorus+Rijkers.aspx	Nationaal Reddingmuseum Dorus Rijkers DEN HELDER					Museumkaart	
de Appel arts centreAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/de+Appel+arts+centre/de+Appel+arts+centre.aspx	de Appel arts centre AMSTERDAM	AMSTERDAM					
Museum BronbeekARNHEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Bronbeek/Museum+Bronbeek.aspx	Museum Bronbeek ARNHEM		"Velperweg 147
6824MB  ARNHEM
				            (026) 376 35 55"				
Museum HindeloopenHINDELOOPENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Hindeloopen/Museum+Hindeloopen.aspx	Museum Hindeloopen HINDELOOPEN		"Dijkweg 1 -3
8713KD  HINDELOOPEN
				            0514 521420"				
ZoutmuseumDELDENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Zoutmuseum/Zoutmuseum+Delden.aspx	Zoutmuseum DELDEN		"Langestraat  30
7491AG  DELDEN
				            074 3764546"				
Streekmuseum KrimpenerwaardKRIMPEN A/D  IJSSELDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum+Krimpenerwaard/Streekmuseum+voor+de+Krimpenerwaard.aspx	Streekmuseum Krimpenerwaard KRIMPEN A/D  IJSSEL						Streekmuseum Krimpenerwaard is gevestigd in een 17e-eeuwse Hallehuisboerderij. Op het fraaie boerenerf staan ook een wagenschuur en een klompenmakerij. Proef hier de tijd van weleer. De collectie bestaat uit voorwerpen die mensen in de Krimpenerwaard dagelijks gebruikten. Het verleden herleeft ook in het boenhok en in het schoolklasje uit de tijd van Ot en Sien. De schatten van het museum bevinden zich in de pronkkamer. Ook voor kinderen is een bezoek de moeite waard. Ze kunnen speuren op het museumerf en spelen met echt ouderwets buitenspeelgoed.
Cultuur-Historisch Museum SorgHOLLUM-AMELANDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Cultuur-Historisch+Museum+Sorgdrager/Cultuurhistorisch+Museum+Sorgdrager+.aspx	Cultuur-Historisch Museum Sorgdrager HOLLUM-AMELAND			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0HOLLUM-AMELAND%4053.4379893,5.6412031&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Streekmuseum KrimpenerwaardKRIMPEN A/D  IJSSELDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum+Krimpenerwaard/Streekmuseum+voor+de+Krimpenerwaard.aspx	Streekmuseum Krimpenerwaard KRIMPEN A/D  IJSSEL			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0KRIMPEN+A%2fD++IJSSEL%4051.9199708,4.5881167&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Dit museum is kidsproofVerzetsmuseum AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Verzetsmuseum+Amsterdam/Verzetsmuseum+Amsterdam.aspx	Verzetsmuseum Amsterdam AMSTERDAM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0AMSTERDAM%4052.3677549,4.9129312&hl=nl&ie=UTF8&t=m&om=1&z=12"		
De LooierijDONGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/De+Looierij/Museum+De+Looierij.aspx	De Looierij DONGEN					Museumkaart	
Het Noordbrabants Museum'S HERTOGENBOSCHDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Het+Noordbrabants+Museum/Het+Noordbrabants+Museum.aspx	Het Noordbrabants Museum 'S HERTOGENBOSCH					Museumkaart	
Cultuur-Historisch Museum SorgHOLLUM-AMELANDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Cultuur-Historisch+Museum+Sorgdrager/Cultuurhistorisch+Museum+Sorgdrager+.aspx	Cultuur-Historisch Museum Sorgdrager HOLLUM-AMELAND						"In Cultuurhistorisch museum Sorgdrager komen de cultuur, historie en tradities van Ameland op heel bijzondere wijze tot leven. Luister naar de verhalen bij de objecten met de podcatcher, maak een boeiende reis door de wereld van de walvisvaart, snuffel rond in het open depot en beleef Ameland van het vroege ontstaan van het eiland tot de 20e eeuw. Vanuit het museum zijn cultuurhistorische rondleidingen mogelijk."
Museum Rotterdam ROTTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Rotterdam+/Museum+Rotterdam+.aspx	Museum Rotterdam  ROTTERDAM	ROTTERDAM					
Museum de FundatieZWOLLEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+de+Fundatie/Museum+de+Fundatie+Zwolle.aspx	Museum de Fundatie ZWOLLE		"Blijmarkt 20
8011NE  ZWOLLE
				            0572 - 388 1 88"				
Museum In 't Houten HuisDE RIJPDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+In+%27t+Houten+Huis/Museum+In+%27t+Houten+Huis.aspx	Museum In 't Houten Huis DE RIJP			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0DE+RIJP%4052.559357,4.8532225&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Cromhouthuis │ Bijbels MuseumAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Cromhouthuis+%e2%94%82+Bijbels+Museum/Cromhouthuis+%e2%94%82+Bijbels+Museum.aspx	Cromhouthuis │ Bijbels Museum AMSTERDAM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0AMSTERDAM%4052.3685341,4.8863555&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum HaarlemHAARLEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Haarlem/Museum+Haarlem.aspx	Museum Haarlem HAARLEM					Museumkaart	
Cube Design MuseumKERKRADEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Cube+Design+Museum/Cube+design+museum.aspx	Cube Design Museum KERKRADE					Museumkaart	
MariniersmuseumROTTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Mariniersmuseum/Mariniersmuseum.aspx	Mariniersmuseum ROTTERDAM					Museumkaart	
Brabants Museum Oud OosterhoutOOSTERHOUTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Brabants+Museum+Oud+Oosterhout/Brabants+Museum+Oud+Oosterhout.aspx	Brabants Museum Oud Oosterhout OOSTERHOUT		"Bredaseweg  129
4904SB  OOSTERHOUT
				            0162 - 42 68 15"				
Museum DorestadWIJK BIJ DUURSTEDEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Dorestad/Museum+Dorestad.aspx	Museum Dorestad WIJK BIJ DUURSTEDE						"Dorestad, nu Wijk bij Duurstede, was ooit een van de belangrijkste handelscentra van Europa. Aan de hand van uiteenlopende vondsten vertelt het museum de geschiedenis van deze plaats. Uitgebreide opgravingen in Wijk bij Duurstede hebben Dorestad aan het licht gebracht. Veel vondsten zijn in het museum te bewonderen. Foto's, tekeningen en maquettes maken het beeld compleet van de handelsplaats die zo'n 1200 jaar geleden zijn hoogtijdagen beleefde. In Museum Dorestad is naast de vaste opstelling enkele malen per jaar een tijdelijke expositie te zien. Bovendien zijn er geregeld lezingen, workshops en activiteiten voor de jeugd."
Dit museum is kidsproofKoninklijk Paleis AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Koninklijk+Paleis+Amsterdam/Koninklijk+Paleis+A%27dam.aspx	Koninklijk Paleis Amsterdam AMSTERDAM		"Dam 1
1012NP  AMSTERDAM
				            020-620 40 60"				
Museum HaarlemHAARLEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Haarlem/Museum+Haarlem.aspx	Museum Haarlem HAARLEM						"Museum Haarlem is het stadsmuseum waar u de geschiedenis van Haarlem beleeft en kunt spiegelen aan het heden. In een vaste opstelling wordt de stadsgeschiedenis in vogelvlucht verteld. Twee keer per jaar worden er tentoonstellingen georganiseerd aan de hand van de actualiteit, gecombineerd met lezingen, rondleidingen, stadswandelingen en kinderworkshops."
Dit museum is kidsproofVerzetsmuseum AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Verzetsmuseum+Amsterdam/Verzetsmuseum+Amsterdam.aspx	Verzetsmuseum Amsterdam AMSTERDAM					Museumkaart	
"Dolhuys, museum van de geestHAARLEMDit museum accepteert de Museumkaart"	https://www.museumkaart.nl/museum/Dolhuys%2c+museum+van+de+geest/Het+Dolhuys+.aspx	"Dolhuys, museum van de geest HAARLEM"		"Schotersingel 2
2021GE  HAARLEM
				            023 5410670"				
Dit museum is kidsproofNationaal Reddingmuseum Dorus DEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nationaal+Reddingmuseum+Dorus+Rijkers/Nationaal+Reddingmuseum+Dorus+Rijkers.aspx	Nationaal Reddingmuseum Dorus Rijkers DEN HELDER						"Beukende golven, gestrande schepen en uitrukkende reddingboten. Beleef het mee in het Nationaal Reddingmuseum Dorus Rijkers. Het museum vertelt het verhaal van het reddingwezen in Nederland. Van vroeger en van nu. Het museum is vernoemd naar Dorus Rijkers (1847-1928), een van de bekendste Nederlandse redders. Voor jong en oud is er van alles te zien en te doen. Ervaar hoe windkracht 10 aanvoelt, beleef de wilde zee met de vaarsimulator en verstuur zelf een bericht in morse. Voor het museum liggen zes varende historische reddingboten.
Van april tot en met oktober zijn er dagelijks rondvaarten met een motorstrandreddingboot door de binnenhaven van Den Helder."
Museum Willet-HolthuysenAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Willet-Holthuysen/Museum+Willet-Holthuysen.aspx	Museum Willet-Holthuysen AMSTERDAM	AMSTERDAM					
Gemeentemuseum Den HaagDEN HAAGDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Gemeentemuseum+Den+Haag/Gemeentemuseum+Den+Haag.aspx	Gemeentemuseum Den Haag DEN HAAG						"Het grootste object uit de collectie van het Gemeentemuseum is het museumgebouw. Dit karakteristieke monument van Berlage geldt als een hoogtepunt uit de moderne architectuur. En ook binnen is veel moois te zien. Het Gemeentemuseum heeft de grootste collectie werken van Piet Mondriaan ter wereld. Met uitgebreide verzamelingen van onder anderen Israëls, Mesdag, Maris, Mauve, Weissenbruch en Jongkind is het museum tevens hét centrum van de Haagse School. Verder bezit het Gemeentemuseum collecties prenten, kunstnijverheid, muziek en mode - één van de belangrijkste ter wereld. De vijf stijlkamers tenslotte, vertegenwoordigen elk een andere periode."
Rotterdams Radio MuseumROTTERDAMDe Museumkaart is niet geldig in dit museum	https://www.museumkaart.nl/museum/Rotterdams+Radio+Museum/Rotterdams+Radio+Museum.aspx	Rotterdams Radio Museum ROTTERDAM	ROTTERDAM					
Brabants Museum Oud OosterhoutOOSTERHOUTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Brabants+Museum+Oud+Oosterhout/Brabants+Museum+Oud+Oosterhout.aspx	Brabants Museum Oud Oosterhout OOSTERHOUT						"Verscholen tussen kastanjebomen en eiken ligt een miniatuurstadje uit ongeveer 1900. Het bevindt zich op het buitenterrein van Brabants Museum Oud Oosterhout. Ook binnen is genoeg te beleven. Begin jaren 90 nam architect Frans van der Leeuw het initiatief om Oosterhoutse gebouwen in het klein na te bouwen. Inmiddels staan er in het park ongeveer 250. Buiten is behalve het miniatuurpark nog meer te zien: een Vlaamse schuur, een wasruimte en een schoenmakerij. Binnen is een woonkamer ingericht in de Brabantse stijl van de eerste helft van de 20e eeuw. Boven in het museum staan vitrines waarin 100 poppen het Brabantse buitenleven uitbeelden."
Dit museum is kidsproofMuseum VolkenkundeLEIDENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Volkenkunde/Museum+Volkenkunde.aspx	Museum Volkenkunde LEIDEN	LEIDEN					
